Job Title,Company Name,Location,Salary,Job Classification,Job Sub Classification,Facility,Posted Date,Job Type,Job Description,More Detail
Sales Engineer ( Medan ),PT Arita Prima Indonesia,Sumatera Utara,,Penjualan,Perwakilan/Konsultan Penjualan,,212024-03-13,Full time,"Kualifikasi :Latar belakang pendidikan Minimal SLTA/D3/S1 dari berbagai jurusan diutamakan dari jurusan Teknik Elektro Usia Maksimal 30 Tahun.Good Ability To Speak.Energik, Komunikatif, Bertanggung Jawab dan mempunyai minat di bidang Sales.Dapat bekerja dibawah tekanan dan siap target.Memiliki pengalaman minimal selama 1 tahun sebagai sales di bidang (Valve,Pompa,Instrumentation,dan Automation).Penempatan serta Wajib Berdomisili di Wilayah Medan Tugas dan Dan Tanggung Jawab :Memenuhi target penjualan dari perusahaan.Membuat penawaran harga tentang produk yang ingin dijual ke customer.Presentasi dan memperkenalkan produk perusahaan ke customer dan pihak lain yang berkaitan.Melakukan kegiatan promosi dan negosiasi dengan customer.",https://www.jobstreet.co.id/id/job/74412360?type=standard&ref=search-standalone
Sales Supervisor - Banten,PT Dana Kharisma,Tangerang,,Penjualan,Koordinator Penjualan,,23 jam yang lalu,Full time,Tugas dan Tanggung Jawab:Melakukan proses penjualan sesuai dengan target yang sudah ditentukan oleh PerusahaanMembina hubungan / menjalin relasi dengan customerMelakukan pengembangan coverage areaBertanggung jawab terhadap team Sales di Area Persyaratan:Usia maksimal 35 tahunPendidikan minimal D IIIMemiliki SIM A & CMemiliki pengalaman minimal 3 tahun pada posisi yang sama (Diutamakan Material Building)Memiliki karakter yang baik serta memiliki motivasi yang kuat untuk maju dan berkembangBerorientasi pada target penjualanDomisili Tangerang,https://www.jobstreet.co.id/id/job/74384995?type=standard&ref=search-standalone
FOOD COURT SUPERVISOR - BALI,PT. Boga Indonesia Group,Kuta,,Hospitaliti & Pariwisata,Pelayan,,15 jam yang lalu,Full time,"Requirement :
- Aged max. 28 yo
- At least graduated from senior high school in related field (preferably majored in culinary F&B)
- Having minimum 2 years experience in F&B field as Food Court Supervisor
- Able to be an independent Food Court Supervisor who runs store operations
- Excellent interpersonal skill and highly initiative person
- Able to manage the whole team as a leader
- Able to work with high mobility
- Willing to work under shift schedule including weekend and public holidays
- Placement at Badung, Bali 
Persyaratan minimum:
Tersedia jam fleksibel
Diperlukan 2-3 tahun pengalaman kerja yang relevan untuk posisi ini
Pelamar harus memiliki KTP",https://www.jobstreet.co.id/id/job/74399800?type=standard&ref=search-standalone
Staff Gudang,GigiSusu,Kuta Utara,,Hospitaliti & Pariwisata,Pelayan,,15 jam yang lalu,Full time,"Staff Gudang (F&B) 
1. Memiliki pengetahuan tentang bahan - bahan makanan
2. Memiliki semangat tinggi
3. Ramah, Energik, Jujur 
4. Semangat mempelajari hal baru
5. Fresh Graduate
6. Dapat segera bergabung
Persyaratan minimum:
Tersedia jam fleksibel
Tidak diperlukan pengalaman kerja untuk posisi ini
Pelamar harus memiliki KTP
Tanggal mulai kerja: 01 April 2024",https://www.jobstreet.co.id/id/job/74400112?type=standard&ref=search-standalone
Manager Pelayanan Medis Surabaya,,Surabaya,,Kesehatan & Medis,Dokter Umum,,23 jam yang lalu,Kontrak,"Job Description :Membantu Pimpinan RS/Klinik Menyusun rencana StrategisMenyusun Pedoman, petunjuk teknis dan aturan pendukung lainnya untuk dijadikan acuan dalam pelaksanaan tugas bidang pelyanan medisMengkoordinir pelaksanaan pedoman, petunjuk teknis dan aturan pendukung lainnya dalam pelaksanaan tugas bidang pelayanan medisMengkoordinir segala kebutuhan bidang pelayanan medisMelakukan pembinaan kepada bawahan bidang pelayanan medisMelakukan koordinasi dan Kerjasama antar kepala bidang/kepala dept dalam rangka kelancaran pelaksanaan tugas bidang pelayanan medisMelakukan monitoring, evaluasi dan pelaporan lingkup tugas bidang pelayanan medisMelaporkan hasil evaluasi dan pemantauan pelaksanaan tugas bidang pelayanan medis KualifikasiPendidikan minimal S1 Profesi KedokteranPengalaman minimal 3 tahun sebagai Manager Pelayanan MedisMemiliki sertifikat keahlian bidang Manajemen Pelayanan Medis Rumah SakitDiutamakan memiliki pengalaman menangani akreditasi Rumah Sakit Memiliki jiwa kepemimpinan yang baik serta berpengalaman dalam pengembangan Sumber Daya Manusia di DepartemennyaMemiliki kemampuan komunikasi yang efektif dan memberikan pelayanan prima serta menguasai manajemen pelayanan medisMahir dalam mengoperasikan MS Office (Word, Excel, PowerPoint)Lancar berbahasa Inggris baik secara lisan maupun tulisan",https://www.jobstreet.co.id/id/job/74384445?type=standard&ref=search-standalone
Guest Relation Officer,PwC Indonesia,Jakarta Selatan,,Hospitaliti & Pariwisata,Layanan Kantor Depan & Tamu,,2024-03-12,Full time,"Job descriptionsGreets and directs all visitors with enthusiasm, professionalism and courtesy.Provides a very positive and professional first impression to visitors.Notify the appropriate party of the visitor's arrival promptly and politely.Directs guests and clients to the waiting area.Establishes a strong rapport with clients, vendors and visitors.Adheres to company policies and procedures, following all safety and security protocols.Maintains records for visitor logs, records employee moves and manages visitor belongings if necessary.Keeps the reception area and all related areas neat and orderly. Requirements:Candidate must possess minimum Diploma 3 degree, preferably from hospitality management, communication study.Preferably have a barista skillFluent in English / Japanese / MandarinAt least 1 year of working experience, preferably in 4 or 5 stars hotel or bankHave a good personality and attractiveConsistent, professional dress and mannerHonest, discipline, and have good attitudeGood knowledge on MS OfficeProficient in using technology and/or gadgetsGood management skills",https://www.jobstreet.co.id/id/job/74383128?type=standard&ref=search-standalone
Marketing Creative (Jurnal Risa Coffe),Opiuci Fam,Ngamprah,,Administrasi & Dukungan Perkantoran,"Asisten Pribadi, Asisten Eksekutif & Sekretarial",,15 jam yang lalu,Full time,"Job Requirements

Candidates must possess at least Bachelor Degree, from Marketing Communications, Public Relations, or related fields.
At least 1 year experience of working in the related field is required for this position (Marketing for Hotels or F&B Group) 
Previously worked in a marketing agency and have experience handling F&B groups are welcome to apply.
Well groomed in appearance, professionalism, and enthusiasm.
Solid experience in strategizing and executing successful marketing campaigns.
Creative, displays a high level of enthusiasm, initiative and results/achievement-oriented.
Capable of managing and leading team members in achieving strategic objectives.
Strong conceptual abilities. 
Willing to work in Bandung




Persyaratan minimum:
Mencari kandidat untuk bekerja pada:
Senin: Pagi, Siang, Sore
Selasa: Pagi, Siang, Sore
Rabu: Pagi, Siang, Sore
Kamis: Pagi, Siang, Sore
Jum'at: Pagi, Siang, Sore


Diperlukan 1 tahun pengalaman kerja yang relevan untuk posisi ini
Pelamar harus memiliki KTP
Gaji yang diinginkan: Rp4,000,000 - Rp5,000,000 per bulan",https://www.jobstreet.co.id/id/job/74399626?type=standard&ref=search-standalone
Internal Audit Manager - Retail & Automotive - Surabaya (ID: 602296),PT. PERSOLKELLY Recruitment Indonesia,Surabaya,"Rp20,000,000 – Rp28,000,000 per month",Akuntansi,Audit – Internal,,1 jam yang lalu,Full time,"Job description:Responsible for preparing work programs and their execution related to operational audit tasks, including implementation of operational systems and compliance with financial regulations related to internal audit.Responsible for the results of audits carried out, for head office and branch financial reports, as well as checking the system procedures implemented.Identify risks in each position and carry out assessments of those identified to reduce risks.Coordinate the inspection/audit process with the head office and branches on a regular basis.Carry out a comprehensive and sustainable company audit process financial and system operational procedures.Formulate and provide input into audit findings by carrying out appropriate and accurate analysis for completion (accuracy of methods and problem analysis).Evaluate and supervise audit results, coordinate with related parties to implement solutions to audit findings.Carry out other related tasks in an effort to achieve audit targets.Qualifications:Minimum education: S1 (majoring in accounting economics preferred).Minimum 10 years working experience in the same position, retail industryExperience in handling many company branchesHave strong leadership, discipline, firmness, high integrity.Have good interpersonal and communication skills.Computer literate (Ms. Office).Have good analytical and problem solving skills.Willing to take business trips outside the city/island. Due to high volume of job applications, only shortlisted candidates will be contacted for interview.By submitting your curriculum vitae or personal data to us in connection with your job application, you are deemed to have read and agreed to the terms of our Privacy Policy, and consented to the collection, use and disclosure of your personal data by us and our affiliates, in accordance with our Privacy Policy. Please visit www.persolkelly.co.id for a copy of our Privacy Policy. If you wish to withdraw your consent, please drop us an email to let us know.Follow us for the latest updates and valuable insights:LinkedIn: https://www.linkedin.com/company/persolkelly/Instagram: https://www.instagram.com/persolkellyid/",https://www.jobstreet.co.id/id/job/74409649?type=standard&ref=search-standalone
CREW OUTLET - YOGURT REPUBLIC SURABAYA,PT. Boga Indonesia Group,Tegalsari,,Hospitaliti & Pariwisata,Pelayan,,2024-03-12,Full time,"Aged 19-28 y.o
Education min. High School or Vocational School preferably from hospitality or culinary
Passionate in F&B industry, including provide excellent service to the customers
Active listening, effective & excellent communication skills
Have good knowledge and approach about basic service
Able to work in a fast-paced environment and be proud of providing excellent customer service
Familiarity with electronic equipment, like cash register and able to operate cashier POS system
Good attitude and good interpersonal skill
Well groomed and presentable
Ability to work on weekends and public holidays
Willing to be placed at Surabaya
Willing to joined IMMEDIATELY
Persyaratan minimum:
Tersedia jam fleksibel
Diperlukan 2-3 tahun pengalaman kerja yang relevan untuk posisi ini
Pelamar harus memiliki KTP",https://www.jobstreet.co.id/id/job/74399782?type=standard&ref=search-standalone
Graphic Designer,PT Indonesia Premium Goods,Bekasi,,Desain & Arsitektur,Desain Graifs,,19 jam yang lalu,Full time,"About usPT Indonesia Premium Goods || Developing and managing well growth brands: Elvicto - All Perfect - Iswhite - Face & Glow - Leobos - Maskova - Dentix - NaisdayQualifications & experienceBachelor's degree in Graphic Design, Fine Arts, or related field.Proven experience as a Graphic Designer or similar role.Proficiency in design software Adobe Family such as Adobe Photoshop, Illustrator, and InDesign.Able to use Adobe After Effect is a plus.Understanding of design principles and the latest trends in skincare industry.Able to join ASAPTasks & responsibilitiesDevelop creative and innovative design concepts, graphics, and layouts for various marketing materials.Produce high-quality artwork and ensure consistency in branding across all materials.Stay updated on design trends and industry best practices to continuously improve the quality of design work.Communicate effectively with team members to ensure alignment on project goals and timelines.",https://www.jobstreet.co.id/id/job/74392004?type=standard&ref=search-standalone
STAFF ADMINISTRASI,,Jakarta Utara,,Administrasi & Dukungan Perkantoran,Asisten Administratif,,2024-03-09,Full time,"1. Berusia kurang dari 30 tahun.2. Pendidikan minimal SMA, D3.3. Pengalaman minimal 3 tahun di bagian administrasi.4. Mampu mengoperasikan computer.5. Dapat mengetik dan menginput data dengan cepat.6. Mampu berkomunikasi dengan baik.7. Mampu bekerja dengan target dan mampu bekerja di bawah tekanan .8. Berdisiplin tinggi penuh tanggung jawab.9. Tempat bekerja di Jakarta .Deskripsi pekerjaan :1. Mengumpulkan data dan melakukan penginputan data.2. Melakukan pengarsipan dengan baik.3. Merekap semua data guna penagihan ke customer.4. Membuat laporan harian dan laporan bulanan.",https://www.jobstreet.co.id/id/job/74318632?type=standout&ref=search-standalone
General Administrator,PT Findit Technology Services,Jakarta Selatan,"Rp5,000,000 – Rp5,500,000 per month",Administrasi & Dukungan Perkantoran,Asisten Administratif,,2024-03-08,Full time,"Administrator Responsibilities:Supporting company leadership and supervising administrative department activities for staff members.Greeting office visitors and directing them to the appropriate parties.Handling basic office tasks, such as filing, delivering mail, answering emails and phone calls, and data entry.Coordinating schedules and managing calendars for multiple parties to ensure that activities are properly arranged with no conflicts.Making travel arrangements and preparing documents, presentation materials, and facilities for meetings.Entering and updating company, employee, and client records.Ordering, storing and distributing office supplies.Maintaining, repairing, or replacing office equipment.Directing, reviewing, and optimizing office operations to increase accuracy, productivity, and efficiency and reduce costs. Administrator Requirements:High school diploma or equivalent.A degree in business administration or a relevant field is preferred.2  years of experience in administrative services or related fields.Additional education, certifications, or experience is advantageous.Understanding of accounting principles and bookkeeping software may be required.Familiarity with office technology and equipment, including computers, fax machines, scanners, printers, phone systems, etc.Exceptional verbal and written communication skills.Proactive, organized approach to multitasking.Strong leadership and interpersonal skills.Professional appearance, courteous manner, and clear, friendly phone voice.",https://www.jobstreet.co.id/id/job/74283994?type=standard&ref=search-standalone
Sales & Distribution Analyst,PT INDIE MARKETINDO CERIA,Kabupaten Bandung,"Rp3,500,000 – Rp4,000,000 per month",Ritel & Produk Konsumen,Asisten Ritel,"Retail Fashion Company, Creative & Fashionable, Casual Office lifestyle",13 jam yang lalu,Full time,"Minimal lulusan S1 atau sederajatMemiliki pengalaman min. 1 tahun di bidang administrasi sales dan analisa distribusi produk RetailDiutamakan Memiliki pengalaman di penjualan Retail produk fashion dengan penjualan showroom maupun department storeMemiliki kemampuan dalam hal mengumpulkan, mengelola dan menganalisa data penjualan, Memahami mengenai Analisa penjualan Produk dan Toko RitelMampu Melakukan Analisa Pengiriman Produk serta mampu berkordinasi dengan bagian pengiriman terkaitMenguasai Ms. Office terutama ExcelMampu bekerja di bawah tekananProaktif dan mampu bekerja secara individu maupun dalam timBerpikir kritis dan analitisMemiliki kemampuan komunikasi dan presentasi yang baik",https://www.jobstreet.co.id/id/job/74398971?type=standout&ref=search-standalone
HEAD STORE KENDARI (Retail Barang Teknik),,Kendari,Rp6.000.000 – Rp8.000.000 per month,Ritel & Produk Konsumen,Manajemen – Toko,"BPJS, Jenjang karir",2024-03-09,Full time,"Memahami tren pasar untuk penjualan barang-barang teknik di KendariMengembangkan rencana pemasaran dan strategi penjualanMemonitor kinerja salesMembangun dan memelihara hubungan kerja dengan pelangganMeningkatkan omset bulanan, semester & tahunanMengembangkan & meningkatkan kualitas team kerjaDapat berbahasa asing terutama bahasa Inggris dan Mandarin Persyaratan :Pendidikan Minimal S1 dari berbagai disiplin ilmuPengalaman minimal 7 (tujuh) tahun sebagai Head Store atau Branch ManagerMinimal usia 43 tahunMemiliki pengalaman di trading di bidang teknikMemiliki kemampuan memimpin orang lainBersedia & sanggup di tempatkan di Kendari",https://www.jobstreet.co.id/id/job/74318232?type=standout&ref=search-standalone
ADMIN PERPAJAKAN,MAHARANI STORE ONLINE,Sewon,,Administrasi & Dukungan Perkantoran,Asisten Administratif,,15 jam yang lalu,Full time,"Maharani store merupakan perusahaan digital marketing yang memasarkan produk-produknya melalui berbagai platform Digital. Saat ini kita sedang membuka kesempatan untuk anda bisa bergabung dengan perusahaan kami.
Dibutuhkan segera Admin Perpajakan dengan kualifikasi :
- Pendidikan minimal SMK/sederajat; D3;S1
- Minimal memiliki pengalaman kerja selama 1 Tahun di bidang yang sama
- Sudah Bravet A dan B
- Tidak asing dengan komputer, Microsoft Office
- Komunikatif, detail, teliti, dan fokus
- Bertanggung jawab dan target oriented
- Aktif, senang analisa dan serius mengembangkan karir
Benefit : 
Gaji Pokok, Tunjangan, Lingkungan kerja yang kondusif, Pelatihan, Ilmu yang bermanfaat untuk mengembangkan karir
Persyaratan minimum:
Mencari kandidat untuk bekerja pada:
Senin: Pagi
Selasa: Pagi
Rabu: Pagi
Kamis: Pagi
Jum'at: Pagi
Sabtu: Pagi


Diperlukan 1 tahun pengalaman kerja yang relevan untuk posisi ini
Pelamar harus memiliki KTP
Tanggal mulai kerja: 25 March 2024
Gaji yang diinginkan: Rp2,000,000 - Rp5,000,000 per bulan",https://www.jobstreet.co.id/id/job/74399460?type=standard&ref=search-standalone
Merchandising Management Trainee,PT Kawan Lama Sejahtera,Jakarta Barat,,Ritel & Produk Konsumen,Merchandiser,,2024-03-11,Full time,"Gambaran Pekerjaan :Merchandising Management Trainee (MMT) adalah program pelatihan khusus bagi talenta muda yang memiliki daya analisa yang baik dan inovatif untuk dapat dikembangkan sebagai merchandiser, inventory planning, category management dan buyer specialist. Kualifikasi :Lulus S1 dengan IPK minimal 3.00 atau memiliki pengalaman kerja 1-2 tahun.Fasih dalam berbahasa Inggris (lisan dan tulisan)Memiliki kemampuan bahasa Mandarin menjadi nilai plusMemiliki kemampuan analisa, project management, dan negosiasi yang baikMemiliki minat yang tinggi untuk memperluas jaringan sosialBersedia ditempatkan di Head Office Gd. Kawan Lama, Jakarta Barat dengan bisnis unit Informa Furnishings",https://www.jobstreet.co.id/id/job/74348258?type=standout&ref=search-standalone
PROCUREMENT & GENERAL AFFAIR,PT Kafe Batavia Fatahillah,Jakarta Barat,"Rp7,000,000 – Rp8,000,000 per month","Manufaktur, Transportasi & Logistik","Pembelian, Pengadaan & Inventaris",,2024-03-12,Full time,"Bachelor's degree in any majorAt least have 2 years of working experience as Procurement & GAHave the ability to analyze price trends, negotiation skills, and procurement planningProficient computer skills, including Microsoft Office Suite (Word, PowerPoint and Excel)Ability to analyze problems and strategize for better solutionsExcellent verbal and written communication skillsAbility to multitask, prioritize, and manage time efficientlyAbility to work well with management and staff at all levelsResponsible for conducting, controlling, and supervising the procurement of goods and servicesPlanning and managing the estimated quantity of goods/materials to be purchasedChecking the completeness of goods and services procurement documents, accompanied by supporting evidenceMake reports on the procurement and GA of goods, materials, and servicesResponsible for warehouse driver",https://www.jobstreet.co.id/id/job/74383858?type=standard&ref=search-standalone
Admin Logistic,PT BYTEDEVICE,Jakarta Barat,,"Manufaktur, Transportasi & Logistik","Pergudangan, Penyimpanan & Distribusi",,2024-03-05,Full time,"Kriteria/Spesifikasi : Usia max 27 tahunPendidikan min SMA/SMK Mampu mengoperasikan aplikasi komputer dan softwareMampu dalam bidang surat menyuratMampu bekerja dalam bidang administrasiMampu membuat dan mengatur jadwalMampu memberikan presentasi dengan baikMampu berkomunikasi dengan baik Aktif, rapi, teliti, jujur, bertanggung jawab dan tepat waktuBersedia bekerja lemburTugas : Membuat dan mengatur jadwal projectMembuat surat menyuratMembuat laporan administrasiFilling dokumenStock OpnameMenyiapkan barang keperluan projectAktif berkoordinasi dengan tim agar project terlaksana dengan baikMembuat laporan barang masuk dan keluarMembuat laporan barang service",https://www.jobstreet.co.id/id/job/74212718?type=standout&ref=search-standalone
Finance & Accounting,PT TPI MANUFACTURING INDONESIA,Cikarang,"Rp10,000,000 – Rp15,000,000 per month",Akuntansi,Akuntansi & Pelaporan Finansial,"Skill Language, Dormitory, Jenjang karier",2024-03-08,Full time,"Inputting all financial transactions into the systemControl the company's financial activities/financial transactionsPerform cash and bank reconciliationCreate daily, weekly and monthly financial reportsCoordinate finances with related departments",https://www.jobstreet.co.id/id/job/74248131?type=standout&ref=search-standalone
Bisnis Operasional Manajer,PT Minarta Dutahutama,Cilegon,,"Manufaktur, Transportasi & Logistik",Pekerjaan Perakitan & Pemrosesan,,11 jam yang lalu,Full time,"Kualifikasi dan Pengalaman :Memiliki kemampuan mengoperasikan dan melakukan pengembangan bisnis baru di sektor industri (pabrik)Memiliki pemahaman dan pengetahuan yang kuat dalam hal finance dan accountingMemiliki Pengalaman di bidang yang sama minimal 10 tahunPendidikan Minimal S1 dari Universitas Terkemuka dengan IPK min 3,2/4 atau setaraLulusan dari Luar Negeri diutamakan dalam proses rekrutmen⁠Fasih dalam bahasa Mandarin dan Inggris Benefit :Gaji dan Tunjangan standar internasionalBonus",https://www.jobstreet.co.id/id/job/74400622?type=standard&ref=search-standalone
Checker Gudang,PT Menara Berkat Plastindo,Tangerang,,"Manufaktur, Transportasi & Logistik","Pergudangan, Penyimpanan & Distribusi",,2024-03-05,Full time,"Kami PT Menara Berkat Plastindo, perusahaan yang bergerak di bidang kemasan plastik sedang mencari kandidat untuk posisi Kepala Gudang Deskripsi Pekerjaan:Memastikan barang yang masuk & keluar sesuai dengan dokumenMenjaga stok barang yang adaMenjaga kerapihan & kerbersihan gudangStock opnameMembuat laporan harianKualifikasi Pekerjaan:Usia maksimal 28 tahunPendidikan minimal SMA/SMK atau sederajatPengalaman minimal 2 tahun sebagai checker di gudang plastikMampu bekerja di bawah tekananBertanggung jawab, gesit, dan jujurMenguasai Ms. Office (Word & Excel)Bersedia bekerja Senin-Sabtu",https://www.jobstreet.co.id/id/job/74212421?type=standout&ref=search-standalone
Assistant Store Manager Kate Spade Yogyakarta,Kanmo Group,DI Yogyakarta,"Rp4,600,000 – Rp4,900,000 per month",Ritel & Produk Konsumen,Manajemen – Toko,,19 jam yang lalu,Kontrak,"Deskripsi Pekerjaan :Menawarkan produk kepada konsumenMemberikan pelayanan yang terbaik bagi konsumenMemberikan informasi produk kepada konsumenMenata barang di toko sesuai dengan yang telah ditentukan (display barang)Membuat laporan penjualanMenjaga kualitas barang yang akan dijual ke konsumenMenerima, menata, mengurus, dan membuat laporan stok barangMenjaga kebersihan, kerapihan, dan keamanan barang yang dijual, area penjualan, ruang stok, dan ruang karyawanPersyaratan & Kualifikasi :Pendidikan minimum SMA / Sederajat.Dapat berkomunikasi dengan baik dan aktif.Setidaknya memiliki 1 tahun pengalaman dalam bidang Retail sebagai PICMemiliki kemampuan berkomunikasi yang baikDapat bekerja sama dengan team maupun individu.Berkepribadian menarik dan jujur.Bersedia bekerja dengan sistem shift, termasuk weekend dan hari libur nasionalReport t",https://www.jobstreet.co.id/id/job/74392153?type=standard&ref=search-standalone
Staff Administrasi,CV.SALIM MULTI PRATAMA,Gubeng,,Administrasi & Dukungan Perkantoran,Asisten Administratif,,2024-03-08,Full time,"1. Membuat Agenda Kantor
Tugas Admin perkantoran yang pertama adalah membuat agenda kantor. Dimana hal tersebut merupakan tugas organisir yang sesuai dengan klasifikasi yang diinginkan. Menyiapkan agenda kantor membutuhkan komunikasi yang baik. Untuk menunjang pekerjaan hal tersebut.
2. Menyiapkan Surat Menyurat
Tugas selanjutnya yang dapat dilakukan oleh staff Admin perkantoran adalah menyiapkan surat menyurat. Biasanya menginput surat masuk serta membuat surat keluar.
3. Mengelola Dokumen Perkantoran
Tugas Admin perkantoran yang penting selanjutnya adalah mengelola dokumen perkantoran
4. Melakukan Penginputan Data
Pekerjaan fundamental ataupun yang bersifat klerikal atau administratif ini adalah tugas seorang Admin perkantoran yang cukup fundamental.
5. Membuat Perekapan Data
Data yang sudah masuk pastinya akan dilakukan perekapan. Hasilnya adalah data tersebut dapat menjadi keperluan perusahaan. Pastikan data direkap dengan aman. Pasalnya perekapan data juga mudah untuk dikelola. Setelah hal tersebut, kamu dapat merekap data baik secara fisik maupun digital.
Persyaratan minimum:
Mencari kandidat untuk bekerja pada:
Senin: Pagi, Siang
Selasa: Pagi, Siang
Rabu: Pagi, Siang
Kamis: Pagi, Siang
Jum'at: Pagi, Siang


Tidak diperlukan pengalaman kerja untuk posisi ini
Pelamar harus memiliki KTP
Tanggal mulai kerja: 18 March 2024",https://www.jobstreet.co.id/id/job/74321667?type=standard&ref=search-standalone
Asisten Humas (Penempatan Kebun Kalbar),HPI-Agro,Kalimantan Barat,,Pemasaran & Komunikasi,Relasi Publik & Urusan Perusahaan,,2024-03-08,Full time,"Deskripsi Pekerjaan:Membuat rencana kerja kegiatan Humas (Hubungan Masyarakat)Mengelola budget operasional sesuai dengan kondisi di lapangan serta norma yang berlakuMengkoordinir kegiatan pelaksanaan pengukuran lahan sesuai dengan rencana kerja yang telah ditetapkanMemonitor proses pengamanan kebun untuk memastikan setiap area telah mendapat pengamanan yang memadaiMenentukan komposisi lahan produktif dan non produktif dari lahan yang telah di ukur dan direncanakanKualifikasi:S1 Hukum/Komunikasi atau setaraMemahami dan mengusai terkait litigation, Financial BudgetMinimal 3 tahun pengalaman sebagai humas dari perkebunan kelapa sawitBersedia ditempatkan di wilayah perkebunan kelapa sawit di Kalimantan Barat (Sanggau/Sintang/Mempawah/Landak)",https://www.jobstreet.co.id/id/job/74278692?type=standout&ref=search-standalone
STAFF GUDANG,PT Inti Tunggal Persada Jaya,Jakarta Barat,,"Manufaktur, Transportasi & Logistik","Pergudangan, Penyimpanan & Distribusi",,2024-03-08,Full time,"Kualifikasi Usia Maksimal 35 Tahun Pendidikan Minimal SMA/SMK/SederajatPengalaman Minimal 1 Tahun di bagian gudangJujur dan bertanggung jawab atas pekerjaan Sopan, cekatan, gesit dan teliti Deskripsi Pekerjaan: Menyiapkan barang dengan benar dan cepat sesuai dengan Sales Order / Surat Jalan Melakukan bongkar dan muatan barang Membantu proses operasional gudang dan pengiriman barang Melakukan packing barang dengan baik Melakukan pengecekan kualitas barangMengangkut dan merapikan barang , Mampu melaksanakan pekerjaan dengan baik sesuai dengan SOP yang berlaku",https://www.jobstreet.co.id/id/job/74248385?type=standard&ref=search-standalone
Finance (Intern),PT TÜV SÜD INDONESIA,Jakarta Selatan,,Akuntansi,Akuntansi & Pelaporan Finansial,"Efficiently handles invoicing, tax filing, and administrative duties., Meticulous in processing invoices and claims with organizational precision., Manages vendor and customer invoices with meticulous attention.",2024-03-08,Full time,"We are looking for a Finance Intern responsible for vendor invoice and employee claims processing, customer invoice management, tax filing assistance, and various administrative tasks. Key Responsibilities:Vendor invoice and employee claims receipt & first level validation; identification of cost center/sales order for data entry.Customer invoice printing, get it signed, filing & distribute to Business Units.Tax filing assistance.Other administrative tasks as required. Key Requirements:Final year university students or fresh graduates or less than 1 year experience.Meticulous, organized, and attention to detail.Good communication skills.Able to communicate the minimum in basic English.Familiar with Ms. Excel.Ability to work effectively as part of a team, contributing to a positive work environment and supporting colleagues as needed.",https://www.jobstreet.co.id/id/job/74264462?type=standout&ref=search-standalone
Staf HR Personalia,PT Sentralsari Primasentosa,Sidoarjo,"Rp4,639,000 per month",Sumber Daya Manusia & Perekrutan,Manajemen – Internal,,2024-03-03,Full time,"Usia maksimal 35 tahunS1 Semua JurusanPengalaman minimal 1 tahun di HR PersonaliaTerbiasa menangani BPJSTK dan BPJS KesehatanMahir fungsi Excel (Vlookup, Hlookup, If, sumif, Pivot, dsb)Komunikatif, cermat, tekun, ulet, dan teliti",https://www.jobstreet.co.id/id/job/74170718?type=standard&ref=search-standalone
Accounting Staff,PT Core Mediatech,Jakarta Timur,"IDR 5,000,000 - 6,000,000",Akuntansi,Akuntansi & Pelaporan Finansial,"jenjang karir, tunjangan kesehatan, work from home 1 hari dalam seminggu",2024-03-05,Full time,"ACCOUNTING STAFF Job Description :·        Mengecek & menginput data customer dengan NPWP baru di program pajak.·        Memeriksa dan menghitung kembali detail invoice yang terbit setiap bulannya.·        Membuat rekonsiliasi untuk PPN Out setiap bulan.·        Membuat Faktur Pajak dan pengiriman Invoice untuk customer Membuat Faktur Pajak·        Membuat daftar dan filling untuk faktur pajak Masukan dan Keluaran·        Membuat SPT masa PPN, PPh 25, PPh 21, PPh 23, dan PPh pasal 4 ayat 2·        Mengecek dan membuat rekap PPh 4 ayat 2, PPh 21, PPh 23, PPh 25 mau pun PPh lainnya·        Membuat rekap supplier, bukti potong PPh 23 dan PPh lainnya untuk supplier dan mengirimnya dan di filling ke odner·        Menangani komplain dari customer & supplier yang berhubungan dengan faktur pajak.·        Menjawab surat dari KPP. Requirements :·        Lulusan sarjana S1 Accounting·        Pengalaman minimal 1 tahun di posisi yang sama·        Memahami  General Ledger, P & L, Balance Sheet, & Tax·        Dapat membuat  Financial Statement·        Diutamakan yang memiliki sertifikat Brevet A & B·        Mampu bekerja mandiri dengan kecepatan dan ketepatan yang akurat dan detail·        Dapat bekerja dibawah tekanan dan sesuai target pekerjaan·        Dapat bekerjasama dalam satu team·        Pekerja keras, loyal dan berkepribadian baik",https://www.jobstreet.co.id/id/job/74193889?type=standout&ref=search-standalone
Staff Administrasi Project,PT Alkonusa Teknik Interkon,Jakarta Raya,,Administrasi & Dukungan Perkantoran,Asisten Administratif,,12024-03-11,Kontrak,Pengalamann Minimal 1 tahun di bidang yang samaUsia Maksimal 30 TahunLulusan SMA SederajatMenguasai Microsoft Office dan Power Point (WAJIB) Terbiasa membuat laporan Mingguan dan BulananBisa membuat laporan keuangan n jurnalDapat bekerja sama dalam timDapat bekerja di bawah tekananMempunyai kendaraan sendiri WAJIBDitempatkan diproject PIK Jakarta,https://www.jobstreet.co.id/id/job/74137995?type=standard&ref=search-standalone
