Job Title,Company Name,Location,Salary,Job Classification,Job Sub Classification,Facility,Posted Date,Job Type,Job Description,More Detail,Job ID,Job Sub Category
marketing kontraktor,Property99.Id Sidoarjo,Sidoarjo,,Penjualan,Pengembangan Bisnis Baru,,2024-03-12,,,https://www.jobstreet.co.id/id/job/74372510?type=standard&ref=search-standalone,74372510,Other
marketing kontraktor,Property99.Id Purwakarta,Purwakarta,,Penjualan,Pengembangan Bisnis Baru,,2024-03-12,,,https://www.jobstreet.co.id/id/job/74372326?type=standard&ref=search-standalone,74372326,Other
marketing kontraktor,Property99.id Semarang,Semarang Selatan,,Penjualan,Pengembangan Bisnis Baru,,2024-03-12,,,https://www.jobstreet.co.id/id/job/74370080?type=standard&ref=search-standalone,74370080,Other
marketing kontraktor,Property99.Id Tangerang,Banten,,Penjualan,Pengembangan Bisnis Baru,,2024-03-12,,,https://www.jobstreet.co.id/id/job/74372472?type=standard&ref=search-standalone,74372472,Other
marketing kontraktor,Property99.Id Bekasi,Jawa Barat,,Penjualan,Pengembangan Bisnis Baru,,2024-03-12,,,https://www.jobstreet.co.id/id/job/74372381?type=standard&ref=search-standalone,74372381,Other
supply chain modelling engineer,PT Haskoning Indonesia,Kebayoran Lama,,Teknologi Informasi & Komunikasi,Administrasi Jaringan & Sistem,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74133608?type=standard&ref=search-standalone,74133608,DATA
crm specialist (evermos),Dealls,Bandung,,Penjualan,Pengembangan Bisnis Baru,,2024-03-16,,,https://www.jobstreet.co.id/id/job/74496060?type=standard&ref=search-standalone,74496060,PHP
tax officer,PT Digital Mediatama Maxima Tbk.,Jakarta Selatan,,Akuntansi,Perpajakan,,2024-03-13,,,https://www.jobstreet.co.id/id/job/74392287?type=standard&ref=search-standalone,74392287,Other
ecommerce officer,CV Urban Beauty,Denpasar,,Penjualan,Pengembangan Bisnis Baru,,2024-03-14,,,https://www.jobstreet.co.id/id/job/74452784?type=standout&ref=search-standalone,74452784,Other
magang administrasi,"PT Kirana Megatara, Tbk (Triputra Group)",Jakarta Selatan,,Administrasi & Dukungan Perkantoran,Manajemen Perkantoran,,2024-03-13,,,https://www.jobstreet.co.id/id/job/74390761?type=standard&ref=search-standalone,74390761,Other
technical superintendent,PT Andhika Lines (Group),Jakarta Raya,,Teknik,Teknik Sipil/Struktural,,2024-03-14,,,https://www.jobstreet.co.id/id/job/74446458?type=standout&ref=search-standalone,74446458,DATA
senior sap consultant fico module,PT Mitra Solusi Telematika,Yogyakarta,,Teknologi Informasi & Komunikasi,Konsultan,"Professional Growth and Development Opportunities, Positive Work Environment and Company Culture",2024-03-13,,,https://www.jobstreet.co.id/id/job/74399048?type=standout&ref=search-standalone,74399048,Other
software developer / it programmer,CV. SINAR TERANG SEJAHTERA,Surabaya,,Teknologi Informasi & Komunikasi,Developer/Programmer,,2024-03-13,,,https://www.jobstreet.co.id/id/job/74408468?type=standout&ref=search-standalone,74408468,OTHER_IT
corporate strategy and planning manager - insurance,PT Michael Page Internasional Indonesia,Jakarta Selatan,,Asuransi & Dana Pensiun,Manajemen,,2024-03-15,,,https://www.jobstreet.co.id/id/job/74458364?type=standard&ref=search-standalone,74458364,Other
cx operations manager,PT Findit Technology Services,Jakarta Selatan,,Konsultasi & Strategi,Strategi & Perencanaan,,2024-03-12,,,https://www.jobstreet.co.id/id/job/74368526?type=standard&ref=search-standalone,74368526,Other
【japanese speaker】finance accounting hr spv/manager,PT Kichiri Rizki Abadi,Jakarta Pusat,"Rp11,000,000 – Rp16,500,000 per month",Akuntansi,Akuntansi & Pelaporan Finansial,"you can learn about Japanese working stlye with Japanese, you can learn about Japanese Style Management with Japanese, Company, brand, store, your growth and increase your position and",2024-03-16,,,https://www.jobstreet.co.id/id/job/74504927?type=standout&ref=search-standalone,74504927,Other
quality control supervisor,PT. BTR INDONESIA,Semarang,,"Manufaktur, Transportasi & Logistik",Penjaminan & Kontrol Mutu,,2024-03-13,,,https://www.jobstreet.co.id/id/job/74396122?type=standout&ref=search-standalone,74396122,Other
kasir,PT. Anugrah Packaging Indo Kemasan,Jawa Timur,,"Manufaktur, Transportasi & Logistik","Pergudangan, Penyimpanan & Distribusi",,2024-03-14,,,https://www.jobstreet.co.id/id/job/74461223?type=standard&ref=search-standalone,74461223,Other
admin sales marketing,PT. BARASEKA LAJU UTAMA,Serpong,,Administrasi & Dukungan Perkantoran,Asisten Administratif,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74283492?type=standard&ref=search-standalone,74283492,Other
network system engineer,PT Artha Telekomindo,Jakarta Selatan,,Teknologi Informasi & Komunikasi,Teknik – Jaringan,,2024-03-13,,,https://www.jobstreet.co.id/id/job/74411877?type=standard&ref=search-standalone,74411877,Other
geologist resource,PT Bara Alam Utama,Jakarta Pusat,,"Pertambangan, Sumber Daya Alam & Energi",Pertambangan – Eksplorasi & Geosains,,2024-03-09,,,https://www.jobstreet.co.id/id/job/74323598?type=standard&ref=search-standalone,74323598,Other
dokter spesialis - patologi klinis,Altius Hospital,Bekasi,,Kesehatan & Medis,Penelitian Klinis/Medis,,2024-03-13,,,https://www.jobstreet.co.id/id/job/74410755?type=standard&ref=search-standalone,74410755,Other
hr - technical l&d (operation pulp),PT Phoenix Resources International,Tarakan,,Sumber Daya Manusia & Perekrutan,Pelatihan & Pengembangan,,2024-03-15,,,https://www.jobstreet.co.id/id/job/74479250?type=standard&ref=search-standalone,74479250,Other
admin gudang raw material,PT Dinito Jaya Sakti,Cengkareng,,"Manufaktur, Transportasi & Logistik","Pergudangan, Penyimpanan & Distribusi",,2024-03-15,,,https://www.jobstreet.co.id/id/job/74463675?type=standard&ref=search-standalone,74463675,Other
field collection - kupang,PT Suzuki Finance Indonesia,Kupang,,Perbankan & Layanan Finansial,Kredit,,2024-03-13,,,https://www.jobstreet.co.id/id/job/74390993?type=standard&ref=search-standalone,74390993,Other
quality assurance,PT Infinity Investasi Indonesia,Kabupaten Tangerang,,"Manufaktur, Transportasi & Logistik",Penjaminan & Kontrol Mutu,,2024-03-13,,,https://www.jobstreet.co.id/id/job/74410504?type=standout&ref=search-standalone,74410504,Other
finance controller,PT Sentrasarana Tirtabening,Wiyung,,Akuntansi,Akuntansi & Pelaporan Finansial,,2024-03-13,,,https://www.jobstreet.co.id/id/job/74400288?type=standard&ref=search-standalone,74400288,Other
finance staff,Whisper Media,Jakarta Pusat,Rp5.067.381 – Rp6.000.000 per month,Akuntansi,Akuntansi & Pelaporan Finansial,,2024-03-16,,,https://www.jobstreet.co.id/id/job/74019704?type=standout&ref=search-standalone,74019704,Other
human resource (hr) - staff - mandarin speaker,PT Wonwoo Commerce Indonesia,Jakarta Selatan,"Rp6,000,000 – Rp9,000,000 per month",Sumber Daya Manusia & Perekrutan,Konsultasi & HR Umum,,2024-03-14,,,https://www.jobstreet.co.id/id/job/74432230?type=standard&ref=search-standalone,74432230,Other
general affair,PT Computesta Digital Indonesia,Jakarta Barat,"Rp4,000,000 – Rp6,000,000 per month",Sumber Daya Manusia & Perekrutan,Konsultasi & HR Umum,,2024-03-14,,,https://www.jobstreet.co.id/id/job/74426097?type=standard&ref=search-standalone,74426097,Other
sales promosi,CV. Bahari Sukses Bersama,Tegal Timur,,Hospitaliti & Pariwisata,Pelayan,,2024-03-13,,,https://www.jobstreet.co.id/id/job/74406697?type=standard&ref=search-standalone,74406697,Other
surveyor,FIFGROUP,Bali,,Call Center & Layanan Konsumen,Penjualan – Outbound,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74456942?type=standard&ref=search-standalone,74456942,Other
customer relationship officer,"PT Mandala Multifinance, Tbk",Serengan,,Pemasaran & Komunikasi,Komunikasi Pemasaran,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74279870?type=standard&ref=search-standalone,74279870,Other
surveyor,Penyelidikan Geoteknik Indonesia,Ciledug,Rp4.500.000 – Rp5.500.000 per month,Konstruksi,Survey,,2024-03-09,,,https://www.jobstreet.co.id/id/job/74340695?type=standard&ref=search-standalone,74340695,Other
area sales supervisor (banyuwangi),PT Unza Vitalis,Kabupaten Banyuwangi,,Ritel & Produk Konsumen,Manajemen – Area/Multi-lokasi,"Competitive Benefit Package, Exciting Work Environment, Career Development",2024-03-13,,,https://www.jobstreet.co.id/id/job/74413179?type=standout&ref=search-standalone,74413179,Other
admin operasional,Jaya Survey Indonesia,Tebet,,Administrasi & Dukungan Perkantoran,"Asisten Pribadi, Asisten Eksekutif & Sekretarial",,2024-03-14,,,https://www.jobstreet.co.id/id/job/74432981?type=standard&ref=search-standalone,74432981,Other
it officer,PT. COSPA HANDBAG GROUP,Demak,Rp3.500.000 – Rp4.200.000 per month,Teknologi Informasi & Komunikasi,Administrasi Jaringan & Sistem,"Asuransi, Allowances, Bonus",2024-03-14,,,https://www.jobstreet.co.id/id/job/74393243?type=standout&ref=search-standalone,74393243,Other
penjualan interior,Dahayu Kencana Parahyangan,Padalarang,,Call Center & Layanan Konsumen,Penjualan – Outbound,,2024-03-14,,,https://www.jobstreet.co.id/id/job/74456954?type=standard&ref=search-standalone,74456954,Other
ketua sekretaris umum,Arlindo Group Cibubur,Bekasi,,Administrasi & Dukungan Perkantoran,"Asisten Pribadi, Asisten Eksekutif & Sekretarial",,2024-03-15,,,https://www.jobstreet.co.id/id/job/74482073?type=standard&ref=search-standalone,74482073,Other
admin,Filoli Daily Laundry,Pulo Gadung,,Administrasi & Dukungan Perkantoran,Administrasi Kontrak,,2024-03-13,,,https://www.jobstreet.co.id/id/job/74400027?type=standard&ref=search-standalone,74400027,Other
supervisor sales,PT Anugerah Nusantara Jaya  - Cab. Balikpapan,Kalimantan Timur,,Ritel & Produk Konsumen,Manajemen – Area/Multi-lokasi,,2024-03-16,,,https://www.jobstreet.co.id/id/job/74053907?type=standard&ref=search-standalone,74053907,Other
dba and it infrastructure analyst,Mega Insurance,Jakarta Selatan,,Teknologi Informasi & Komunikasi,Administrasi Jaringan & Sistem,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74249176?type=standout&ref=search-standalone,74249176,DATA
sales mortgage (kpr),PT Daya5 Rekrutmen,Cilandak,,Perbankan & Layanan Finansial,Analisis & Pelaporan,,2024-03-09,,,https://www.jobstreet.co.id/id/job/74335007?type=standard&ref=search-standalone,74335007,Other
cost control,PT Salam Bajo Indonesia,Batu,,Akuntansi,Akuntansi Biaya,,2024-03-16,,,https://www.jobstreet.co.id/id/job/74008192?type=standard&ref=search-standalone,74008192,Other
human resources manager,PT Pulau Sambu,Jakarta Utara,"Rp15,000,000 – Rp20,000,000 per month",Sumber Daya Manusia & Perekrutan,Lainnya,"Kesempatan untuk meningkatkan skill., Tantangan untuk mengembangkan perusahaan., Good and friendly work environment.",2024-03-15,,,https://www.jobstreet.co.id/id/job/74480871?type=standout&ref=search-standalone,74480871,Other
admin sales,PT Megacon Bangun Perkasa,Bekasi,,Administrasi & Dukungan Perkantoran,Asisten Administratif,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74248114?type=standout&ref=search-standalone,74248114,Other
hrd,PT. USAHA TANGGUH MANDIRI,Bandung,Rp4.000.000 – Rp6.000.000 per month,Sumber Daya Manusia & Perekrutan,Konsultasi & HR Umum,,2024-03-13,,,https://www.jobstreet.co.id/id/job/74409297?type=standard&ref=search-standalone,74409297,Other
invoice & customer service admin (contract),PT Jotun Indonesia,Cikarang,,Administrasi & Dukungan Perkantoran,Asisten Administratif,,2024-03-16,,,https://www.jobstreet.co.id/id/job/74020750?type=standard&ref=search-standalone,74020750,Other
store specialist (mandarin speaking),KKV INTERNATIONAL INDONESIA,Jakarta Barat,"IDR 10,000,000 - 14,000,000",Ritel & Produk Konsumen,Manajemen – Toko,,2024-03-13,,,https://www.jobstreet.co.id/id/job/74391291?type=standard&ref=search-standalone,74391291,PHP
customer service,CV. Maju Bangsaku,Gambir,,Call Center & Layanan Konsumen,Layanan Konsumen – Berhadapan dengan Konsumen,,2024-03-15,,,https://www.jobstreet.co.id/id/job/74463798?type=standard&ref=search-standalone,74463798,Other
sales marketing,PT Asuransi Sonwelis Takaful,Jakarta Barat,"Rp5,000,000 – Rp6,500,000 per month",Penjualan,Perwakilan/Konsultan Penjualan,,2024-03-14,,,https://www.jobstreet.co.id/id/job/74426245?type=standard&ref=search-standalone,74426245,Other
it programmer,PT Sarana Mega Fortuna,Astana Anyar,,Teknologi Informasi & Komunikasi,Developer/Programmer,,2024-03-13,,,https://www.jobstreet.co.id/id/job/74400252?type=standard&ref=search-standalone,74400252,OTHER_IT
mandarin speaker senior sales marketing manager - real estate -gresik (a-104374),RGF HR Agent Indonesia,Gresik,"Rp26,666,667 – Rp40,000,000 per month",Pemasaran & Komunikasi,Komunikasi Pemasaran,,2024-03-15,,,https://www.jobstreet.co.id/id/job/74456118?type=standard&ref=search-standalone,74456118,Other
senior customer service export import,PT Zimmoah Marine Trans,Jakarta Raya,,"Manufaktur, Transportasi & Logistik",Impor/Ekspor & Pabean,,2024-03-13,,,https://www.jobstreet.co.id/id/job/74389322?type=standout&ref=search-standalone,74389322,Other
seo,ONESAMAKSESORISINDONESIA,Jakarta Utara,"Rp6,668,000 – Rp10,000,000 per month",Pemasaran & Komunikasi,Pemasaran Digital & Pencarian,"Mempunyai bos yang baik hati, mempunyai perkembangan yang sangat baik di masa depan, akan mendapatkan semua fasilitas yg di belikan perusahaan",2024-03-13,,,https://www.jobstreet.co.id/id/job/74342435?type=standout&ref=search-standalone,74342435,Other
senior system administrator,Yayasan Bina Nusantara,Jakarta Raya,,Teknologi Informasi & Komunikasi,Administrasi Jaringan & Sistem,,2024-03-15,,,https://www.jobstreet.co.id/id/job/74460459?type=standard&ref=search-standalone,74460459,Other
receptionist,PT. Graha Perdana Indah,Depok,,Administrasi & Dukungan Perkantoran,Resepsionis,,2024-03-14,,,https://www.jobstreet.co.id/id/job/74423471?type=standout&ref=search-standalone,74423471,Other
finance staff,PT Harapan Fintech Indonesia,Jakarta Barat,,Akuntansi,Akuntansi & Pelaporan Finansial,,2024-03-12,,,https://www.jobstreet.co.id/id/job/74361499?type=standout&ref=search-standalone,74361499,Other
purchasing administration,Asiadecs,Surabaya,Rp4.700.000 – Rp5.000.000 per month,Administrasi & Dukungan Perkantoran,Administrasi Klien & Penjualan,,2024-03-12,,,https://www.jobstreet.co.id/id/job/74364426?type=standard&ref=search-standalone,74364426,Other
it technical support unix,PT Sinergi Daya Mitra,Jakarta Raya,,Teknologi Informasi & Komunikasi,Administrasi Jaringan & Sistem,Basic Salary & Laptop,2024-03-12,,,https://www.jobstreet.co.id/id/job/74381655?type=standout&ref=search-standalone,74381655,Other
hris compensation & benefit senior specialist,,Cilegon,,Sumber Daya Manusia & Perekrutan,Remunerasi & Tunjangan,,2024-03-16,,,https://www.jobstreet.co.id/id/job/73878819?type=standout&ref=search-standalone,73878819,PHP
account executive (area denpasar),PT Karya Solusi Prima Sejahtera,Bali,"Rp6,000,000 – Rp7,000,000 per month",Penjualan,Manajemen Akun & Relasi,,2024-03-13,,,https://www.jobstreet.co.id/id/job/74411102?type=standard&ref=search-standalone,74411102,DATA
internal auditor (accounting),PT Autoaccindo Jaya,Jakarta Pusat,,Akuntansi,Audit – Internal,,2024-03-13,,,https://www.jobstreet.co.id/id/job/74396707?type=standout&ref=search-standalone,74396707,Other
admin laudry,Clean.IN Laundry,Jakarta Raya,,Administrasi & Dukungan Perkantoran,Asisten Administratif,,2024-03-16,,,https://www.jobstreet.co.id/id/job/74001651?type=standard&ref=search-standalone,74001651,Other
admin laundry,Clean.In Laundry - Serpong,Jawa Barat,,Administrasi & Dukungan Perkantoran,Asisten Administratif,,2024-03-16,,,https://www.jobstreet.co.id/id/job/74001710?type=standard&ref=search-standalone,74001710,Other
social media specialist,dialog indonesia,Harjamukti,,Administrasi & Dukungan Perkantoran,Administrasi Kontrak,,2024-03-14,,,https://www.jobstreet.co.id/id/job/74432664?type=standard&ref=search-standalone,74432664,PHP
business strategy manager,PT LX International Indonesia,Jakarta Selatan,,Konsultasi & Strategi,Strategi & Perencanaan,,2024-03-14,,,https://www.jobstreet.co.id/id/job/74451580?type=standard&ref=search-standalone,74451580,Other
sales executive,PT Meiden Engineering Indonesia,Jakarta Raya,,Teknik,Teknik Elektro/Elektronik,"Salary Package, Training Abroad, Work Culture",2024-03-13,,,https://www.jobstreet.co.id/id/job/74416269?type=standout&ref=search-standalone,74416269,Other
finance manager,PT MITRA MANUNGGAL MAHARDIKA,Kelapa Gading,"Rp15,000,000 – Rp18,000,000 per month",Akuntansi,Manajer & Kontroler Finansial,"Lingkungan kerja yang milenial, Meal Allowance",2024-03-14,,,https://www.jobstreet.co.id/id/job/74453730?type=standout&ref=search-standalone,74453730,Other
e-commerce operations,PT Seahub Media Indonesia,Jakarta Utara,Rp8.000.000 – Rp12.000.000 per month,Penjualan,Pengembangan Bisnis Baru,"Free Meals, BPJS, Commission",2024-03-17,,,https://www.jobstreet.co.id/id/job/74264739?type=standout&ref=search-standalone,74264739,Other
plantation director (sumatra operations),PT Michael Page Internasional Indonesia,Jakarta Raya,,CEO & Manajemen Umum,COO & Direktur Utama,,2024-03-13,,,https://www.jobstreet.co.id/id/job/74412343?type=standard&ref=search-standalone,74412343,Other
sales marketing f&b,PT. Mutiara Gemilang Indonesia,Jakarta Barat,,Penjualan,Manajemen Akun & Relasi,,2024-03-12,,,https://www.jobstreet.co.id/id/job/74380658?type=standout&ref=search-standalone,74380658,Other
tax staff,PT Berdikari Inti Gemilang,Cengkareng,"Rp3,500,000 – Rp4,500,000 per month",Akuntansi,Perpajakan,"Tax Staff, Staff Pajak, Accounting",2024-03-15,,,https://www.jobstreet.co.id/id/job/74480265?type=standout&ref=search-standalone,74480265,Other
credit marketing offcer (cmo),"PT Wahana Ottomitra Multiartha (WOM Finance), Tbk",Mandalajati,,Perbankan & Layanan Finansial,Kredit,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74200885?type=standard&ref=search-standalone,74200885,Other
supervisor production planning and control (ppc),PT Tunas Bahana Sparta,Jawa Barat,,"Manufaktur, Transportasi & Logistik",Pemimpin Tim/Supervisor,,2024-03-16,,,https://www.jobstreet.co.id/id/job/74491465?type=standard&ref=search-standalone,74491465,Other
assistant manager general affairs,,Jakarta Selatan,,Administrasi & Dukungan Perkantoran,Manajemen Perkantoran,"Good environment, Open career path, Competitive salary",2024-03-13,,,https://www.jobstreet.co.id/id/job/74410679?type=standout&ref=search-standalone,74410679,Other
purchasing staff,PT Aneka Dharma Persada,DI Yogyakarta,,Konstruksi,Manajemen,,2024-03-09,,,https://www.jobstreet.co.id/id/job/74325133?type=standard&ref=search-standalone,74325133,Other
hr assistant,"Ja,an Restaurant",Seminyak,,Sumber Daya Manusia & Perekrutan,Konsultasi & HR Umum,,2024-03-15,,,https://www.jobstreet.co.id/id/job/74463521?type=standard&ref=search-standalone,74463521,Other
research manager (business development),PT Pakuan Tbk.,Tangerang,,Penjualan,Pengembangan Bisnis Baru,,2024-03-14,,,https://www.jobstreet.co.id/id/job/74427476?type=standout&ref=search-standalone,74427476,DATA
senior .net developer,DHI Water & Environment,Jakarta Selatan,"Rp16,000,000 – Rp19,000,000 per month",Teknologi Informasi & Komunikasi,Developer/Programmer,,2024-03-18,,,https://www.jobstreet.co.id/id/job/74526657?type=standard&ref=search-standalone,74526657,DATA
e-commerce specialist,PT Ayu Agung,Jakarta Pusat,,Pemasaran & Komunikasi,Komunikasi Pemasaran,,2024-03-14,,,https://www.jobstreet.co.id/id/job/74423251?type=standard&ref=search-standalone,74423251,PHP
it infrastructure & security engineer,PT Bank SBI Indonesia,Jakarta Pusat,,Teknologi Informasi & Komunikasi,Administrasi Jaringan & Sistem,,2024-03-13,,,https://www.jobstreet.co.id/id/job/74408558?type=standard&ref=search-standalone,74408558,Other
area sales supervisor ( bandung),PT Unza Vitalis,Bandung,,Ritel & Produk Konsumen,Manajemen – Area/Multi-lokasi,"Career Development, Exciting Work Environment, Competitive Benefit Package",2024-03-13,,,https://www.jobstreet.co.id/id/job/74412848?type=standout&ref=search-standalone,74412848,Other
staf qc (quality control) lab,PT Kemenangan,Cileungsi,,"Manufaktur, Transportasi & Logistik","Produksi, Perencanaan & Penjadwalan","Skills Development, Scope to innovate",2024-03-16,,,https://www.jobstreet.co.id/id/job/73880412?type=standout&ref=search-standalone,73880412,Other
quantity surveyor,China Construction Fourth Engineering Division Corp Ltd,Jakarta Raya,"Rp6,000,000 – Rp9,000,000 per month",Konstruksi,Survey,"Free Lunch, Career Progression, Paid Holidays",2024-03-14,,,https://www.jobstreet.co.id/id/job/74453453?type=standout&ref=search-standalone,74453453,Other
b2b commercial sales account,PT MOBILITAS DIGITAL INDONESIA,Jakarta Timur,,Penjualan,Pengembangan Bisnis Baru,,2024-03-14,,,https://www.jobstreet.co.id/id/job/74426419?type=standard&ref=search-standalone,74426419,PHP
assistant/secretary - noodles soap manufacturing - wfo - north jakarta,PT. PERSOLKELLY Recruitment Indonesia,Cilincing,"Rp8,000,000 – Rp10,000,000 per month",Administrasi & Dukungan Perkantoran,"Asisten Pribadi, Asisten Eksekutif & Sekretarial",,2024-03-17,,,https://www.jobstreet.co.id/id/job/74224650?type=standard&ref=search-standalone,74224650,Other
compensation benefit and hris specialist,PT. Universal Agri Bisnisindo,Jakarta Selatan,,Sumber Daya Manusia & Perekrutan,Remunerasi & Tunjangan,"Global Exposure, Competitive Package",2024-03-17,,,https://www.jobstreet.co.id/id/job/74265919?type=standout&ref=search-standalone,74265919,PHP
accounting executive,PT Faito Racing Development Indonesia,Jakarta Timur,"Rp6,000,000 – Rp9,000,000 per month",Akuntansi,Akuntansi & Pelaporan Finansial,,2024-03-13,,,https://www.jobstreet.co.id/id/job/74396591?type=standout&ref=search-standalone,74396591,Other
sales & markting manager,Ohana suites sebagai rekruter Ohana Suitses,Wirobrajan,,Call Center & Layanan Konsumen,Penjualan – Outbound,,2024-03-12,,,https://www.jobstreet.co.id/id/job/74400228?type=standard&ref=search-standalone,74400228,Other
ios developer,PT IDStar Cipta Teknologi,Jakarta Selatan,,Teknologi Informasi & Komunikasi,Developer/Programmer,,2024-03-14,,,https://www.jobstreet.co.id/id/job/74452947?type=standout&ref=search-standalone,74452947,DATA
account officer,PT BPR Rifi Maligi,Tangerang,Rp4.500.000 – Rp6.500.000 per month,Pemasaran & Komunikasi,Komunikasi Pemasaran,"Gaji, Bonus, BPJS",2024-03-13,,,https://www.jobstreet.co.id/id/job/74409949?type=standout&ref=search-standalone,74409949,Other
sales officer (jabodetabek),PT Sigmantara Alfindo,Jakarta Raya,,Ritel & Produk Konsumen,Asisten Ritel,,2024-03-13,,,https://www.jobstreet.co.id/id/job/74415139?type=standout&ref=search-standalone,74415139,DATA
marketing executive,PT Haldin Pacific Semesta,Jakarta Pusat,,Pemasaran & Komunikasi,Komunikasi Pemasaran,,2024-03-13,,,https://www.jobstreet.co.id/id/job/74414834?type=standout&ref=search-standalone,74414834,Other
admin,PT. Singa Tunggal Perkasa,Pare,,Administrasi & Dukungan Perkantoran,Asisten Administratif,,2024-03-14,,,https://www.jobstreet.co.id/id/job/74456695?type=standard&ref=search-standalone,74456695,Other
ios development instructor,PT Phincon,Jakarta Selatan,,Teknologi Informasi & Komunikasi,Developer/Programmer,,2024-03-14,,,https://www.jobstreet.co.id/id/job/74421463?type=standout&ref=search-standalone,74421463,DATA
teknisi,PT WIRIAWAN INGENIOUS SOLUTION,Jakarta Raya,,Teknik,Teknik Elektro/Elektronik,,2024-03-14,,,https://www.jobstreet.co.id/id/job/74456826?type=standard&ref=search-standalone,74456826,Other
general admin,PT Mega Advans Teknologi,Jakarta Barat,Rp4.000.000 – Rp5.000.000 per month,Administrasi & Dukungan Perkantoran,Asisten Administratif,,2024-03-16,,,https://www.jobstreet.co.id/id/job/74016059?type=standout&ref=search-standalone,74016059,Other
business development executives,PT Hashmicro Solusi Indonesia,Jakarta Raya,,Penjualan,Pengembangan Bisnis Baru,,2024-03-14,,,https://www.jobstreet.co.id/id/job/74428766?type=standard&ref=search-standalone,74428766,DATA
staff admin legal,Life Media,Mergangsan,,Administrasi & Dukungan Perkantoran,Asisten Administratif,,2024-03-14,,,https://www.jobstreet.co.id/id/job/74432649?type=standard&ref=search-standalone,74432649,Other
project management office (pmo) / business partner,,Jakarta Raya,,Teknologi Informasi & Komunikasi,Analis Bisnis/Sistem,,2024-03-10,,,https://www.jobstreet.co.id/id/job/74342415?type=standout&ref=search-standalone,74342415,Other
devops engineer,"PT. BFI FINANCE INDONESIA, Tbk",Tangerang Selatan,,Teknologi Informasi & Komunikasi,Teknik – Perangkat Lunak,,2024-03-14,,,https://www.jobstreet.co.id/id/job/74452035?type=standard&ref=search-standalone,74452035,DATA
landscape section head,CIPUTRA GROUP,Jakarta Raya,,Real Estat & Properti,Pengembangan Ritel & Properti,,2024-03-12,,,https://www.jobstreet.co.id/id/job/73878511?type=standout&ref=search-standalone,73878511,Other
production & demand planning manager,PT Inovasi Teknologi Untung Berkah,Tangerang,"Rp17,000,000 – Rp22,000,000 per month","Manufaktur, Transportasi & Logistik","Produksi, Perencanaan & Penjadwalan",,2024-03-09,,,https://www.jobstreet.co.id/id/job/74341608?type=standard&ref=search-standalone,74341608,DATA
fullstack javascript instructor,PT Phincon,Jakarta Selatan,,Teknologi Informasi & Komunikasi,Developer/Programmer,,2024-03-14,,,https://www.jobstreet.co.id/id/job/74421875?type=standout&ref=search-standalone,74421875,OTHER_IT
surveying specialist,PT CBL Indonesia Investment,Halmahera,,Konstruksi,Survey,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74253188?type=standout&ref=search-standalone,74253188,PHP
part sales engineer (heavy equipment),P.T. Airindo Sakti,Semarang,,Teknologi Informasi & Komunikasi,Penjualan – Pra & Pasca,"bonus, career",2024-03-16,,,https://www.jobstreet.co.id/id/job/73979222?type=standout&ref=search-standalone,73979222,Other
partnership,PT Syncore Indonesia,Yogyakarta,,Call Center & Layanan Konsumen,Penjualan – Outbound,,2024-03-14,,,https://www.jobstreet.co.id/id/job/74432955?type=standard&ref=search-standalone,74432955,Other
drafter machine manufactur (tangerang),PT Indo Porcelain,Banten,,Teknik,Drafting Teknik,,2024-03-13,,,https://www.jobstreet.co.id/id/job/74399966?type=standard&ref=search-standalone,74399966,Other
supervisor purchasing,PT Saikho Indo Kreatif,Gunung Sindur,Rp6.000.000 – Rp8.000.000 per month,"Manufaktur, Transportasi & Logistik","Pembelian, Pengadaan & Inventaris",,2024-03-09,,,https://www.jobstreet.co.id/id/job/74326369?type=standout&ref=search-standalone,74326369,Other
sales executive (senior/junior),PT Jomon Persada Nusantara,Jakarta Utara,Rp4.500.000 – Rp6.750.000 per month,"Pertambangan, Sumber Daya Alam & Energi",Pertambangan – Teknik & Pemeliharaan,"Jenjang Karir, Self Development, Corporate Gathering",2024-03-12,,,https://www.jobstreet.co.id/id/job/74386565?type=standout&ref=search-standalone,74386565,Other
frontliner,YEPPA KUBUTAMBAHAN,Kubutambahan,,Call Center & Layanan Konsumen,Layanan Konsumen – Berhadapan dengan Konsumen,,2024-03-14,,,https://www.jobstreet.co.id/id/job/74432843?type=standard&ref=search-standalone,74432843,Other
ads specialist,PT Wanfu Glow Indonesia,Jakarta Raya,,"Periklanan, Seni & Media",Manajemen Akun Agensi,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74238851?type=standard&ref=search-standalone,74238851,PHP
internal audit staff,PT Mandiri Utama Finance,Jakarta Selatan,,Akuntansi,Audit – Internal,,2024-03-16,,,https://www.jobstreet.co.id/id/job/73979921?type=standard&ref=search-standalone,73979921,Other
