Job Title,Company Name,Location,Salary,Job Classification,Job Sub Classification,Facility,Posted Date,Job Type,Job Description,More Detail,og_period_salary,Compensation,og_salary_currency,Job ID,Job Category,Scraped Date
surveyor,Pt Penerbit Erlangga,Jakarta Timur,5083750.0,Konstruksi,Survey,Lingkungan Kerja Yang Nyaman Gaji Yang Kompetitif Dalam Industrinya Peluang Karier Yang Jelas,6 hari yang lalu,Kontrak,Pencarian Data Property Melalui Desk Internetmaping Wilayahmembuat List Property Spesifikasi Tipe Harga Kondisi Lokasimembantu Melakukan Survey Lokasimembuat Laporan Hasil Surveykualifikasipendidikan Minimal S Semua Jurusanmemiliki Kemampuan Survey Lapangan Database Dan Analisa Dataminimal Memiliki Tahun Pengalaman Kerja Di Bidang Yang Sama Diutamakan Bersedia Untuk Bekerja Di Lapangan,https://www.jobstreet.co.id/id/job/74259291?type=standout&ref=search-standalone,month,not_written,IDR,74259291,Other,2024-03-13
finance admin,Not Written,Jakarta Raya,not_written,Akuntansi,Akuntansi Pelaporan Finansial,Not Written,6 hari yang lalu,Full time,Kualifikasi Pendidikan Minimal Smk Smumau Belajar Teliti Disiplin Jujur Rapih Filling Lebih Disukai Berpengalaman Sebagai Admin Finance Dapar Bekerja Mandiri Maupun Dalam Teamdapat Bekerja Dengan Targetdapat Bekerja Dibawah Tekananmenguasai Microsoft Office Mahir Excel Mengenal Program Sap B One Menjadi Nilai Plus Perusahaan Menawarkan Gaji Yang Kompetitif Hari Kerja Minggu Dan Fasilitas Kesejahteraan Lainnya Yang Menarik,https://www.jobstreet.co.id/id/job/74251175?type=standard&ref=search-standalone,not_written,not_written,not_written,74251175,FINANCE,2024-03-13
finance accounting staff,Pt Berlian Artha Label,Kalideres,5750000.0,Akuntansi,Akuntansi Pelaporan Finansial,Finance Staff Accounting Staff Prepedan Kalideres Jakarta Barat,5 hari yang lalu,Full time,Finance Accounting Staff Domisili Area Tegal Alur Kalideres Cengkareng Kosambi Jakarta Baratkualifikasi Minimal S Akuntansi Usia Tahun Menguasai Ms Excel Rumus Menguasai Email Menguasai Accurate Menguasai Bahasa Inggris Menguasai Bahasa Mandarin Lebih Diutamakan Job Desk Rekap Mutasi Bank Account Receivable Account Payable Ke System Accounting Accurate Maintain Account Receivable Penagihan Hingga Pelunasan Membuat Laporan Bulanan Atas Account Receivable,https://www.jobstreet.co.id/id/job/74288297?type=standout&ref=search-standalone,month,not_written,IDR,74288297,FINANCE,2024-03-13
hr admin internship,Pt Aneka Search Indonesia,Setiabudi,not_written,Sumber Daya Manusia Perekrutan,Konsultasi Hr Umum,Not Written,9 hari yang lalu,Kontrak,Tugas Dan Tanggung Jawab Membantu Proses Rekrutmen Dan Administrasi Pelamar Memproses Data Karyawan Seperti Onboarding Perubahan Data Dan Mutasi Mengelola Dokumen Dan Arsip Kepegawaian Membantu Dalam Persiapan Dan Pelaksanaan Program Pelatihan Dan Pengembangan Sdm Melakukan Tugas Administratif Lainnya Terkait Dengan Sdm Kualifikasi Sedang Menempuh Pendidikan S Jurusan Psikologi Manajemen Sdm Atau Jurusan Terkait Memiliki Kemampuan Komunikasi Dan Interpersonal Yang Baik Mampu Bekerja Secara Mandiri Dan Dalam Tim Memiliki Kemampuan Microsoft Office Yang Baik Memiliki Pengalaman Magang Di Bidang Hr Diutamakan Benefit Uang Sakusertifikat Internshippengalaman Kerja Di Bidang Hrdurasi Internship Bulan,https://www.jobstreet.co.id/id/job/74179100?type=standard&ref=search-standalone,not_written,not_written,not_written,74179100,HUMAN RESOURCES,2024-03-13
dispatcher operational truk penempatan trosobo,Pt Rapi Trans Logistik Indonesia,Sidoarjo,not_written,Manufaktur Transportasi Logistik,Manajemen Armada,Pengembangan Karier Skema Insentif Yg Menarik Berkesempatan Untuk Mengembangkan Diri,7 hari yang lalu,Full time,Dispatcher Operasional Trukberpengalaman Dibidang Expedisi Logistic Trucking Minimal Tahunmampu Menghadapi Driver Dan Menyelesaikan Masalah Yang Terjadi Lapanganterbiasa Melakukan Monitoring Truk Dan Driverbersedia Membuat Laporan Untuk Customer Maupun Managementmahir Dan Menguasai Peta Jawa Dan Kota Kota Hub Penting Di Area Jawamampu Bekerja Dalam Tekanan Dan Dalam Kondisi Yang Menuntut Untuk Bekerja Cepatmemiliki Daya Ingat Dan Daya Konsentrasi Yang Tinggiteliti Cekatan Dan Memiliki Kemampuan Komunikasi Yang Baikmenguasai Ms Office Excelbersedia Melakukan Shift Joblulusan Baru Dapat Dipertimbangkancandidate Must Possess At Least A Smu Diploma Bachelor S Degree Logistic Transportation Or Equivalent Required Skill S Microsoft Officerequied Candidates Who Have Quick Thinking And Able To Work Under Pressure And Fast Paced Environmentat Least Year S Of Working Experience In The Related Field Is Required For This Positionapplicants Must Be Willing To Work In Trosobopreferably Staff Non Management Non Supervisor S Specializing In Logistics Supply Chain Or Equivalent Full Time Position S Available,https://www.jobstreet.co.id/id/job/74230520?type=standout&ref=search-standalone,not_written,not_written,not_written,74230520,OPERATIONS,2024-03-13
accounting staff,Pt Heraldi Bawana Inmark,Bandung,not_written,Akuntansi,Akuntansi Pelaporan Finansial,Bpjs Kesehatan Dan Ketenagakerjaan Tunjangan Uang Makan Dan Transportasi,5 hari yang lalu,Full time,Kualifikasi Menguasai Perpajakan Dan Accountingmemiliki Pengalaman Di Bidang Accounting Dan Pajak Minimal Tahun Menguasai Program Microsoft Ms Word Ms Excel Dan Ms Powerpoint Menguasai Pembuatan Sistem Informasi Akuntansi Laporan Keuangan Dan Auditpendidikan Minimal S Usia Maksimal Tahunsehat Jasmani Dan Rohanijujur Profesional Dan Berintegritasinisiatif Tekun Dan Bertanggung Jawaborientasi Pada Detail Teliti Dan Rapimampu Bekerja Dibawah Tekanansiap Bekerja Senin Sd Sabtu Deskripsi Pekerjaan Melakukan Audit Internal Untuk Mencegah Terjadinya Fraudmelakukan Verifikasi Dan Melakukan Validasi Data Laporan Keuanganmembuat Standar Prosedur Agar Pengecekan Bisa Berjalan Efektif Dan Efisienmelakukan Audit Ke Cabang,https://www.jobstreet.co.id/id/job/74306928?type=standout&ref=search-standalone,not_written,not_written,not_written,74306928,FINANCE,2024-03-13
operator tank terminal morowali sulawesi tengah,Pt Akr Corporindo Tbk,Sulawesi Tengah,not_written,Pertambangan Sumber Daya Alam Energi,Minyak Gas Operasional,Not Written,4 hari yang lalu,Full time,Job Description Responsible For Performing Operational Tasks Related To Loading Unloading From Vessel To Tank Storage Or Tank Storage To Vesselresponsible For The Maintenance And Repair Of Facilities Or Infrastructure In The Storage Tanks Under Sop And She Regulations Qualifications Age Maximal Years Oldminimal Years Experiencemin D In Mechanical Electrical Industrial Chemical Petroleum Engineering With Minimum Gpa Of Knowledge Of Hsse Safety Will Be An Advantage Ready To Be Placed In Morowali Central Sulawesi Fresh Graduate Are Welcome To Apply,https://www.jobstreet.co.id/id/job/74330199?type=standard&ref=search-standalone,not_written,not_written,not_written,74330199,Other,2024-03-13
customer service staff open for fresh graduate trading cikarang c,Rgf Hr Agent Indonesia,Cikarang,6000000.0,Call Center Layanan Konsumen,Layanan Konsumen Call Center,Not Written,7 hari yang lalu,Full time,About The Company The Working Venue Is In Cikarang Our Client Is A Japanese Trading Company Currently They Are Looking For Customer Service Staff Open For Fresh Graduate Job Responsibilities Deal Directly With Customers Either By Telephone Electronically Or Face To Face Respond Promptly To Customer Inquiries Handle And Resolve Customer Complaints Obtain And Evaluate All Relevant Information To Handle Product And Service Inquiries Provide Pricing And Delivery Information Perform Customer Verifications Set Up New Customer Accounts Process Orders Forms Applications And Requests Organize Workflow To Meet Customer Timeframes Direct Requests And Unresolved Issues To The Designated Resource Manage Customers Accounts Keep Records Of Customer Interactions And Transactions Record Details Of Inquiries Comments And Complaints Record Details Of Actions Taken Prepare And Distribute Customer Activity Reports Maintain Customer Databases Manage Administration Communicate And Coordinate With Internal Departments Follow Up On Customer Interactions Provide Feedback On The Efficiency Of The Customer Service Process Job Requirements Education Min Diploma Equivalent Higher Experienced In Working With Customer Support Administration E Commerce Or Purchasing Good Clear Communication English Speaking Ability To Stay Calm When Customers Are Stressed Upset Strong Detail Oriented Positive Attitude Language Self Motivated Good Computer Literacy Ms Office Problem Solving Skill Empathy Patience Confidence Adaptability Desire To Learn A Willingness To Go To Extra Mile Good Telephony Manner Only Cv In English Will Be Processed,https://www.jobstreet.co.id/id/job/74226786?type=standard&ref=search-standalone,month,not_written,IDR,74226786,CUSTOMER SERVICE,2024-03-13
ceo s office associate,Cgs International Sekuritas Indonesia,Jakarta Selatan,not_written,Administrasi Dukungan Perkantoran,Asisten Pribadi Asisten Eksekutif Sekretarial,Medical Inpatient Medical Outpatient Dental Optical,7 hari yang lalu,Full time,Responsibilities Conduct Analysis To Identify Growth Opportunities And Improvement For Business Unitssupport Strategic Planning And Financial Analytics Collect Clean And Analyze Data Sets From Various Sources To Support Business Decisionswork With Stakeholders To Prepare Performance Management Reports Dashboards And Monitoring Tools To Support Company Strategy Requirements Bachelor Degree Majoring In Finance Accounting Economics Business From Reputable Universityminimum Years Experience An Analytics Role Financial Role Business Planning And Development Or Other Similar Fieldsproficiency In Microsoft Office Financial Modelling And Data Analysis Toolsexcellent English Both Written And Verbal Ability To Work Well With Colleagues Across Different Functionsexcellent Communication And Interpersonal Skills,https://www.jobstreet.co.id/id/job/74239023?type=standout&ref=search-standalone,not_written,not_written,not_written,74239023,Other,2024-03-13
mechanical electrical maintenance operator,Pt Hyundai Energy Indonesia,Cikarang,5219263,Manufaktur Transportasi Logistik,Operator Mesin,Tax Paid By Company Private Health Insurance Working Hour Mon Fri,8 hari yang lalu,Kontrak,Benefits Private Health Insurancetax Paid By Companyregular Working Hour Monday Friday Responsibilities Performing Routine Maintenance Checking Around The Building Monitoring Pressure Temperature Humidity And Other Indicators Execute Daily Checksheet And Report To Superiors Qualificationsvocational High School Degree Smk Majoring In Mechanical Or Electricalexperienced As Mechanical Or Electrical Maintenance In Automotive Industry Able To Read And To Follow Oral And Written Instructions Placement Cikarang Giic,https://www.jobstreet.co.id/id/job/74192811?type=standout&ref=search-standalone,month,not_written,IDR,74192811,IT,2024-03-13
staff entry data,Cv Carba,Gayungan,not_written,Call Center Layanan Konsumen,Layanan Konsumen Berhadapan Dengan Konsumen,Not Written,5 hari yang lalu,Full time,Memberi Tanggapan Terhadap Pertanyaan Dari Pelanggan Menjawab Telepon Email Atau Faks Dari Pelanggan Membantu Menyelesaikan Masalah Dari Pelanggan Menjalin Komunikasi Dengan Pelanggan Dari Berbagai Saluran Menjelaskan Atau Menginformasikan Produk Yang Disediakan Perusahaan Membuat Proses Pesanan Mengisi Formulir Dan Permintaan Pelanggan Mengarsipkan Catatan Interaksi Dengan Para Pelanggan Menjadi Penghubung Antara Pelanggan Dengan Perusahaan Memberikan Umpan Balik Kepada Pelanggan Memastikan Kepuasan Dan Kenyamanan Pelanggan Serta Selalu Memberikan Dukungan Persyaratan Minimum Mencari Kandidat Untuk Bekerja Pada Senin Pagi Siang Selasa Pagi Siang Rabu Pagi Siang Kamis Pagi Siang Jum At Pagi Siang Tidak Diperlukan Pengalaman Kerja Untuk Posisi Ini Pelamar Harus Memiliki Ktp Tanggal Mulai Kerja March Gaji Yang Diinginkan Rp Rp Per Bulan,https://www.jobstreet.co.id/id/job/74281387?type=standard&ref=search-standalone,not_written,not_written,not_written,74281387,DATA,2024-03-13
finance staff,Pt Gama Agro Sejati,Semarang,3500000.0,Akuntansi,Pembukuan Akuntansi Praktik Kecil,Memiliki Visi Misi Yang Jelas Dan Culture Yang Kuat Memiliki Kesempatan Sukses Bersama Perusahaan Kami Agro Business Is Sustainable In Almost Any Condition,6 hari yang lalu,Kontrak,Apakah Anda Seorang Yang Jujur Teliti Disiplin Dengan Waktu Dan Memiliki Kemampuan Analisa Yang Baik Dan Anda Mau Gaji Insentif Hingga Juta Rupiah Per Tahun Kami Adalah Salah Satu Grup Perusahaan Yang Bergerak Dibidang Agro Chemicals Alat Alat Pertanian Saat Ini Membutuhkan Finance Staff Benefit Gaji Pokok Bpjs Ketenagakerjaan Bpjs Kesehatan Insentif Kualifikasi Usia Maksimal Pendidikan Minimal S Akuntansi Ekonomi Pengalaman Minimal Tahun Di Bidang Yang Sama Sebagai Finance Staff Memiliki Pengalaman Di Perusahaan Fmcg Lebih Disukai Memiliki Pengetahuan Yang Baik Terkait Role Finance Staff Memiliki Sim A Dan Sim C Mahir Mengendarai Mobil Hanya Anda Yang Memenuhi Kriteria Di Atas Segera Kirimkan Cv Lamaran Cv Pasfoto Fotocopy Ktp Dan Ijazah Skck Yang Masih Berlaku Surat Pengalaman Kerja,https://www.jobstreet.co.id/id/job/74252253?type=standout&ref=search-standalone,month,not_written,IDR,74252253,FINANCE,2024-03-13
finance officer,Pt Formasi Agung Selaras,Jakarta Selatan,5250000.0,Akuntansi,Akuntansi Pelaporan Finansial,Not Written,7 hari yang lalu,Full time,Requirements Must Freshly Graduated In Finance Or Accounting From Reputable Universityenergetic And Fast Learnerable To Work Monday To Friday At Working Hourswilling To Work From Officedomicile In Jakartacan Join Asap Job Description Supporting In Finance Document Filing Such As Monthly Budget And Cost Reports And Draw Out Actionable Insights From Financial Datasupporting Finance Team For Checking And Maintaining Documents For Business Related Transactionscontinuously Suggest And Execute Process Improvementssupporting Finance Related Ad Hoc Analysis For Both Internal And External Use,https://www.jobstreet.co.id/id/job/74230379?type=standard&ref=search-standalone,month,not_written,IDR,74230379,FINANCE,2024-03-13
finance staff,Not Written,Jakarta Pusat,not_written,Akuntansi,Akuntansi Pelaporan Finansial,Not Written,5 hari yang lalu,Full time,Deskripsi Pekerjaan Menginput Semua Transaksimembuat Rekonsiliasi Bank Dan Akun Akun Lainnyamembuat Laporan Keuanganmelakukan Pengaturan Administrasi Keuangan Perusahaanmenyusun Dan Membuat Laporan Keuangan Perusahaanmenyusun Dan Membuat Laporan Terkait Anggaran Pengeluaran Dan Anggaran Pendapatan Perusahaan Secara Rutin Dan Berkala Kualifikasikandidat Harus Memiliki Gelar Sarjana Di Keuangan Akuntansi Perbankan Atau Setara Memiliki Tahun Pengalaman Dalam Bidang Yang Sesuai Untuk Posisi Ini Lulusan Baru Dipersilahkan Melamar Kemampuan Yang Harus Dimiliki Accurate Memiliki Pengalaman Di Bidang Retail Diutamakan,https://www.jobstreet.co.id/id/job/74309987?type=standard&ref=search-standalone,not_written,not_written,not_written,74309987,FINANCE,2024-03-13
admin proyek estimator,Cv Modern,Surabaya,not_written,Teknik,Teknik Sipil Struktural,Not Written,8 hari yang lalu,Full time,Deskripsi Pekerjaan Membuat Rab Dan Rap Membuat Schedule Kerja Monitoring Permintaan Dan Pemakaian Material Monitoring Progress Kerja Kualifikasi Pekerjaan Berusia Maksimal Tahun Diutamakan Belum Bersuami Kandidat Setidaknya Memiliki Gelar D S Teknik Sipil Memiliki Pengalaman Minimal Tahun Dalam Bidangnya Mampu Menguasai Gambar Kerja Memiliki Etika Kerja Yang Baik Mampu Berkordinasi Dan Berkomunikasi Dengan Team Diutamakan Domisili Di Surabaya,https://www.jobstreet.co.id/id/job/74194866?type=standout&ref=search-standalone,not_written,not_written,not_written,74194866,ADMINISTRATION,2024-03-13
staf administrasi proyek,Pt Kawan Abadi Selaras,Tangerang,5100000.0,Administrasi Dukungan Perkantoran,Asisten Administratif,Not Written,12 hari yang lalu,Full time,Dibutuhkan Segera Staff Administrasi Proyek Dengan Kriteria Memiliki Background Pendidikan Minimal D Accounting Belum Berkeluargabisa Mengendarai Kendaraan Roda Memiliki Sim A Memiliki Karakteristik Pribadi Berintegritas Memiliki Pengalaman Kerja Minimal Satu Tahun Mengurus Administrasu Proyekmemiliki Keahlian Khusus Microsoft Office Dengan Uraian Tugas Utama Mengurus Administrasi Proyek Dan Memahami Uraian Tugas Dan Prosedur Penagihan Ke Bumn Dan Swastabisa Bergabung Secepatnya,https://www.jobstreet.co.id/id/job/74120288?type=standard&ref=search-standalone,month,not_written,IDR,74120288,ADMINISTRATION,2024-03-13
production admin,Pt Pacific Indopalm Industries,Dumai,not_written,Administrasi Dukungan Perkantoran,Asisten Administratif,Not Written,12 hari yang lalu,Full time,Career Opportunity Pt Pacific Indopalm Industries Is Established In November In Lubuk Gaung Dumai Riau Producing Refined Bleached Deodorized Rbd Palm Oil Refined Bleached Deodorized Palm Kernel Oil Rbd Palm Stearin And Rbd Palm Super Olein With Different Properties For Usage In Different Application We Invite Candidates To Join And Develop With Us For Position Production Admin Job Purpose Responsible To Performing Good Administration Data Analysis And Documentation System In Production Department Of Palm Oil Refinery Career Level Admin Operatorreport To Shift Supervisordepartment Productionwork Location Lubuk Gaung Dumai Riauemployment Status Permanent Employee Qualification Bachelor Degree Of Industrial Engineering Fluent English Skill Both Oral And Written Able To Operating Computer For Data Processing Analysis Familiar With Administration Works Or Correspondence Including Arranging Good Documentation System Candidate From Dumai Riau Is Prioritized,https://www.jobstreet.co.id/id/job/74136427?type=standard&ref=search-standalone,not_written,not_written,not_written,74136427,PRODUCT MANAGEMENT,2024-03-13
finance staff mini,Pt Karya Tekhnik Utama,Jakarta Barat,not_written,Akuntansi,Akuntansi Pelaporan Finansial,Not Written,5 hari yang lalu,Full time,Mainly Jobscriptionreconciliation Bank Transaction And Doing Coordination With Bank Singapore Indonesiaupdate And Control Paymentcashflow Projectionreview Budgetingprepare And Review Cashflow With Monthly Financial Report Qualificationmax Age Yearscan Speak English Or Local Chinese Leangueactive Communication And Have Good Teamworkattractive Appearancehave Good Time Managementcan Have Pressure For Deadlinehonest Accurate And Good Responsiblityunderstanding To Read Financial Reporthave Experience At Least Minimum Yearshave Good Motivate To Develop And Upgrade Knowledge,https://www.jobstreet.co.id/id/job/74293740?type=standard&ref=search-standalone,not_written,not_written,not_written,74293740,FINANCE,2024-03-13
purchasing staff,Pt Masada Jaya Lines,Banjarmasin,not_written,Manufaktur Transportasi Logistik,Pembelian Pengadaan Inventaris,Not Written,5 hari yang lalu,Kontrak,Deskripsi Pekerjaan Memastikan Berjalannya Kegiatan Pembelian Dan Penyediaan Kebutuhan Perusahaan Dan Tertib Dokumen Administratif Menjalakan Administrasi Pr Po Dan Lainnya Secara System Program Sap Melakukan Koordinasi Dengan Tim Internal Dan External Terkait Pembelian Dan Penyediaan Kebutuhan Perusahaan Melakukan Review Dan Laporan Rutin Terkait Peforma Kegiatang Dept Purchasing Kualifikasi Usia Maksimal Thn Pendidikan Minimal D D S Umum Memiliki Pengalaman Minimal Tahun Pekerjaan Sebagai Purchasing Staff Perusahaan Pelayaran Tugboat Tongkang Lebih Diunggulkan Memiliki Kemampuan Pekerjaan Menggunakan Computer Dalam Membuat Laporan Menggunakan Microsoft Office Ataupun Email Memiliki Pengalaman Menggunakan Program Sap Lebih Diunggulkan Memiliki Pengetahuan Mengenai Berbagai Sparepart Mesin Kapal Dapat Mengikuti Perintah Kerja Melakukan Perjalanan Dinas Kemanapun Dibutuhkan Berkantor Pusat Di Banjarmasin,https://www.jobstreet.co.id/id/job/74268054?type=standout&ref=search-standalone,not_written,not_written,not_written,74268054,Other,2024-03-13
qc operator,Pt Astari Niagara Internasional,Tangerang,not_written,Manufaktur Transportasi Logistik,Penjaminan Kontrol Mutu,Not Written,4 hari yang lalu,Kontrak,Pt Astari Niagara Internasional Sedang Mencari Operator Quality Control Untuk Penempatan Tangerang Tugas Tanggungjawab Melakukan Grading Akrilik Sesuai Dengan Kriteria Gradingmemeriksa Kesesuaian Masking Dan Identitas Produkmelaporkan Hasil Grading Akrilik Secara Harian Kualifikasi Pernah Bekerja Sebagai Qc Minimal Tahun Di Industri Manufakturmampu Menggunakan Alat Ukurmemahami Quality Management System Iso Memiliki Pengelihatan Mata Yang Baik Dan Mampu Membedakan Warna Warna Dengan Baikpendidikan Sma Ipa Smk Kimia Murni Smk Teknik Kimiadisiplin Dan Mampu Bekerjasama Dalam Teambersedia Untuk Bekerja Shift,https://www.jobstreet.co.id/id/job/74329384?type=standard&ref=search-standalone,not_written,not_written,not_written,74329384,QUALITY CONTROL,2024-03-13
facilities technician,Pt Transportasi Gas Indonesia,Riau,not_written,Teknik,Pemeliharaan,Opportunity Work In Gas Transportation Field Proffesional Work Environment Self Development And Competence In The Oil And Gas Sector,4 hari yang lalu,Full time,Education Minimum D From Engineering Disciplineexperience Minimum Years Of Pipeline And Gas Areasskills And Knowledge Instrumentation And Control Industry Codes And Standards Calibration Field Instruments Preventive Maintenance Gas Analysis Instruments Facilities Maintenance Metering And Proving Programmable Logic Controller Plc Inventory Management Job Description Prepare And Conduct Routine Maintenance Such As Time Based Inspection Calibration Performance Test Spare Part Replacement And Housekeeping For Station Equipments In Order To Ensure Facilities Are Available To Support Safe Reliable And Efficient Transportation Of Gas Prepare And Conduct Non Routine Maintenance Such As Construction Repair And Modification According Work Procedures Work Instruction And Manufacturing Recommendation For Station Equipments In Order To Ensure Facilities Are Available To Support Safe Reliable And Efficient Transportation Of Gas Prepare And Conduct Gas Chromatograph H O H S Analyzer Flow Computer Gas Metering Calibration And Repeater Station Periodically In Order To Ensure The Station Operations Supported Company S Business Operational Prepare And Conduct Supporting Equipment At Metering Station Prepare And Conduct Facilities Health Safety And Environment Hse Programs And Ensuring Consistency With The Company S And Government Regulatory Requirements Prepare And Manage Report Of Tools Spare Parts Supporting Equipments And Problems Found In Equipments And Technical Inspection With Accurate Data Including Suggested Solution To Solve The Problems Prepare And Perform Troubleshooting On Any Problems In Equipments And Including Cost Estimation To Rectified And Contact The Third Parties To Ensure Safe Reliable And Efficient Transportation Of Gas Maintain And Manage Facilities Tools And Assets To Ensure It Does Can Be Used Wells To Ensure Company S Operation,https://www.jobstreet.co.id/id/job/74327144?type=standout&ref=search-standalone,not_written,not_written,not_written,74327144,IT,2024-03-13
automation engineering staff,Pt Avia Avian Tbk,Cirebon,not_written,Teknik,Teknik Otomotif,Not Written,6 hari yang lalu,Full time,Pendidikan Minimal S Teknik Elektromemiliki Pengalaman Di Bidang It Automation Electrical Engineeringmemahami Plc Allen Bradleymemahami Topologi Jaringan Dan Erpbersedia Ditempatkan Di Cirebon Jawa Barat,https://www.jobstreet.co.id/id/job/74250119?type=standout&ref=search-standalone,not_written,not_written,not_written,74250119,ENGINEERING,2024-03-13
warehouse head jawa tengah,Pt Sinar Sosro,Jawa Tengah,not_written,Manufaktur Transportasi Logistik,Pergudangan Penyimpanan Distribusi,Not Written,11 hari yang lalu,Full time,Kualifikasiusia Maksimal Tahunpendidikan Minimal D Semua Jurusanmemiliki Pengalaman Sebagai Kepala Gudang Minimal Tahun Pada Perusahaan Fmcg Lebih Diutamakan Memiliki Sim A Dan Bisa Mengendarai Mobilmemiliki Jiwa Leadership Dan Terbiasa Mengelola Timdomisili Solo Diutamakanpenempatan Jawa Tengah Solo,https://www.jobstreet.co.id/id/job/74153385?type=standard&ref=search-standalone,not_written,not_written,not_written,74153385,OPERATIONS,2024-03-13
staff finance,Pt Intraco Pallet Indonesia,Serang,not_written,Akuntansi,Akuntansi Pelaporan Finansial,Not Written,8 hari yang lalu,Full time,Qualification Bachelor S Degree In Accounting Or Financeminimum Years Of Work Experience As Finance Accounting And Taxfluent In English Speaking English Is A Mustpreferably Working In Audit Firm For Years Abovemanufacturing Industry Experiences Is Preferred Knowledge Of Erp Preferred Oracle Cloud Basehaving Strong Accounting Standardgood Understanding Of Tax Regulations Pph And Ppn Strong Attention To Detail And Accuracy In Data Entry And Financial Reportinghigh Level Of Integrity Responsibility And Discipline In Workhave Knowledge Using Sql Accounting Softwarewilling To Work In Cikande Serang Regencyresponsibility Handling Financial Report And Journaling Carry Out Tax Administration In Accordance With Applicable Regulations Keep Records Of Invoices And Tax Payments Create And Update Spreadsheets Of Daily Transactions Manage Accounts Receivable And Payable Review And Process Reimbursements Provide Assistance And Support To Finance Department Manage Petty Cash Process Internal And External Payments And Transactions Monthly Recap Cash Inflow Outflow Expenditure Monthly Compiling Bank Statements,https://www.jobstreet.co.id/id/job/74191768?type=standard&ref=search-standalone,not_written,not_written,not_written,74191768,FINANCE,2024-03-13
representatif officer,Pt Bitutek,Sumatera Selatan,not_written,Penjualan,Pengembangan Bisnis Baru,Upah Negotiable Asuransi Kesehatan Dan Kecelakaan Kerja Lain Lain,5 hari yang lalu,Kontrak,Mampu Bekerja Sendiri Dari Rumah Dan Melakukan Kunjungan Ke Lokasi Atau Wilayah Lainnya Untuk Melakukan Pengembangan Pasarmelakukan Kegiatan Memperkenalkan Merk Dagang Perusahaan Secara Rutin Kepada Pihak Pihak Pengembang Kontraktor Property Suplier Bahan Bangunan Pekerjaan Umum Baik Swasta Maupun Pemerintah Dan Lain Lain Mencari Dan Mengumpulkan Informasi Pasar Untuk Melakukan Pengembangan Dan Peningkatan Penjualan Produk Dan Menyampaikan Hal Tersebut Kepada General Manager Secara Langsung Dan Secara Fungsional Kepada Marketing Manager Membuat Target Informasi Data Arsitek Dan Kontraktor Serta Pihak Pekerjaan Umum Pemerintah Dan Swasta Selalu Mencari Dan Melakukan Pengambangan Calon Pelanggan Diberbagai Wilayah Wilayah Pemasaran Tidak Hanya Di Sumatra Selatan Tetapi Diharapkan Memasuki Seluruh Wilayah Sumatra Kualifikasi Yang Dibutuhkan Usia Maksimal Tahunpendidikan Minimal Slta Dan D S Mampu Berbicara Dengan Bahasa Inggris Dengan Cukup Baikmemiliki Pengalaman Dalam Hal Bahan Bangunan Konstruksi Dan Sipil Bangunanmemiliki Pengalaman Dalam Hal Melakukan Penjualan Produk Atap Onduline Genteng Aspal Genteng Keramik Genteng Beton Dan Lain Lain Yang Merupakan Produk Atap Memiliki Koneksi Dengan Para Kontraktor Pengusaha Property Dan Atau Pimpinan Proyeksudah Memiliki Data Base Pelanggan Untuk Produk Atap Dimaksudmampu Membuat Laporan Kepada Pimpinan Langsung General Manager Menggunakan Bahasa Inggriskhusus Untuk Kandidat Yang Berdomisili Sumatra Selatan Utara Barat Dan Sekitarnya,https://www.jobstreet.co.id/id/job/74276937?type=standout&ref=search-standalone,not_written,not_written,not_written,74276937,Other,2024-03-13
foreman civil project,Cimory Group,Cikupa,not_written,Teknik,Teknik Sipil Struktural,Not Written,4 hari yang lalu,Full time,Responsibilities Mampu Melakukan Pemodelan Struktur Dengan Lancar Dan Menerapkan Kode Indonesia Dalam Perancanganmenghitung Analisa Struktur Minimal Dengan Software Sap Tekla Etabs Atau Software Sejenismengembangkan Gambar Desain Detail Dari Teknik Dasarmemberikan Solusi Teknis Untuk Masalah Terkait Desainrequirements Min Pendidikan S Teknik Sipilmemiliki Pengalaman Lebih Dari Tahun Di Perusahaan Kontraktor Dan Telah Memahami Pembuatan Design Baik Untuk Project Infra Maupun Project Pabrikpengetahuan Yang Sangat Baik Tentang Perangkat Lunak Design Dan Visualisasi Seperti Autocad Dan Sipil D Lainnyapengetahuan Yang Baik Tentang Pemahaman Dasar Teknik Sipilmemiliki Kemampuan Komunikasi Yang Baik,https://www.jobstreet.co.id/id/job/74316757?type=standard&ref=search-standalone,not_written,not_written,not_written,74316757,PRODUCT MANAGEMENT,2024-03-13
